2019-11-10 16:06:24 INFO  DriverFactory - main : 50 - Driver type set to chrome
2019-11-10 16:06:30 INFO  HomePage - main : 31 - Clicked on Sign In link
2019-11-10 16:06:31 INFO  LoginPage - main : 28 - Entered email: invalid
2019-11-10 16:06:31 INFO  LoginPage - main : 33 - Entered password: abc1234
2019-11-10 16:06:32 INFO  LoginPage - main : 38 - Clicked on Sign In button
2019-11-10 16:06:32 INFO  LoginPage - main : 43 - Error message = There is 1 error Invalid email address.
2019-11-10 16:06:32 INFO  LoginPage - main : 28 - Entered email: abc213@mailinator.com
2019-11-10 16:06:32 INFO  LoginPage - main : 33 - Entered password: invalid
2019-11-10 16:06:33 INFO  LoginPage - main : 38 - Clicked on Sign In button
2019-11-10 16:06:33 INFO  LoginPage - main : 43 - Error message = There is 1 error Authentication failed.
2019-11-10 16:06:33 INFO  LoginPage - main : 28 - Entered email: abc213@mailinator.com
2019-11-10 16:06:33 INFO  LoginPage - main : 33 - Entered password: 1234
2019-11-10 16:06:34 INFO  LoginPage - main : 38 - Clicked on Sign In button
2019-11-10 16:06:34 INFO  LoginPage - main : 43 - Error message = There is 1 error Invalid password.
2019-11-10 16:06:34 INFO  LoginPage - main : 28 - Entered email: invalid
2019-11-10 16:06:34 INFO  LoginPage - main : 33 - Entered password: invalid
2019-11-10 16:06:34 INFO  LoginPage - main : 38 - Clicked on Sign In button
2019-11-10 16:06:34 INFO  LoginPage - main : 43 - Error message = There is 1 error Invalid email address.
